,Date,Country,City,Perpetrator,Fatalities,Injured,Target
0,2019-12-31,China,Hong Kong,Unknown,0,0,Government (General)
1,2019-12-31,India,Bagiot Dora,Unknown,0,1,Private Citizens & Property
2,2019-12-31,Sudan,El Geneina,Unknown,2,0,"Government (General),Police"
3,2019-12-31,Sudan,El Geneina,Unknown,2,1,Police
4,2019-12-31,Iraq,Baghdad,Unknown,0,0,Private Citizens & Property
5,2019-12-30,Iraq,Nada,Islamic State of Iraq and the Levant (ISIL),1,0,Military
6,2019-12-31,Cameroon,Njap,Separatists,1,0,Private Citizens & Property
7,2019-12-31,Myanmar,Unknown,Arakan Army (AA),0,0,Government (General)
8,2019-12-31,Philippines,Inug-ug,Unknown,0,0,Private Citizens & Property
9,2019-12-31,Russia,Magas,Caucasus Province of the Islamic State,2,4,Police
10,2019-12-31,Philippines,Kinamaybay,New People's Army (NPA),1,0,Private Citizens & Property
11,2019-12-31,Philippines,Polomolok,Unknown,1,0,Government (General)
12,2019-12-31,Syria,Tabqah,Islamic State of Iraq and the Levant (ISIL),3,0,Private Citizens & Property
13,2019-12-31,Yemen,Ataq district,Al-Islah Party,Unknown,Unknown,Government (General)
14,2019-12-31,India,Munkeri,Tritiya Prastuti Committee (TPC),0,1,Private Citizens & Property
15,2019-12-31,India,Malhan,Tritiya Prastuti Committee (TPC),0,0,Business
16,2019-12-31,Afghanistan,Qala-e-Rig,Taliban,1,2,Government (General)
17,2019-12-31,Afghanistan,Gulran district,Unknown,1,1,Private Citizens & Property
18,2019-12-31,Afghanistan,Konjak,Taliban (suspected),1,0,Private Citizens & Property
19,2019-12-31,Afghanistan,Gurziwan district,Taliban,4,5,Police
20,2019-12-31,Afghanistan,Bandar,Taliban,18,7,Military
21,2019-12-31,Burkina Faso,Djibo,Unknown,10,0,Police
22,2019-12-31,Nepal,Bheriganga,Communist Party of Nepal - Maoist (CPN-Maoist-Chand),0,0,Telecommunication
23,2019-12-31,Nepal,Baijanathpur,Unknown,0,0,Telecommunication
24,2019-12-31,Nepal,Gajura,Unknown,0,0,Telecommunication
25,2019-12-31,Nepal,Shaktikhor,Unknown,0,0,Telecommunication
26,2019-12-31,Nepal,Piluwa,Communist Party of Nepal - Maoist (CPN-Maoist-Chand) (suspected),0,0,Telecommunication
27,2019-12-31,Afghanistan,Darzab district,Taliban,0,0,Telecommunication
28,2019-12-31,Afghanistan,Darzab district,Taliban,0,0,Telecommunication
29,2019-12-31,Afghanistan,Darzab district,Taliban,0,0,Telecommunication
30,2019-12-30,Yemen,Mahfad,Southern Yemen Separatists,1,3,Military
31,2019-12-30,Afghanistan,Maywand district,Taliban,6,0,Military
32,2019-12-30,Afghanistan,Khakrez district,Taliban,6,0,Military
33,2019-12-30,Afghanistan,Miya Nishin district,Taliban,6,0,Military
34,2019-12-30,Afghanistan,Shah Wali Kot district,Taliban,6,0,Military
35,2019-12-30,Afghanistan,Maruf district,Taliban,7,0,Military
36,2019-12-30,Afghanistan,Arghistan district,Taliban,7,0,Military
37,2019-12-30,Afghanistan,Badi Ghondai,Taliban,27,0,Military
38,2019-12-30,Iraq,Fallujah,Islamic State of Iraq and the Levant (ISIL),5,0,Educational Institution
39,2019-12-30,Iraq,Nasiriyah,Iran-backed militia,1,0,Private Citizens & Property
40,2019-12-30,Philippines,Pantukan district,New People's Army (NPA),2,4,"Military,Military,Private Citizens & Property"
41,2019-12-30,Philippines,Panansalan,New People's Army (NPA),0,0,Private Citizens & Property
42,2019-12-30,Iraq,Al-Faris district,Unknown,0,1,"Private Citizens & Property,Private Citizens & Property"
43,2019-12-30,Afghanistan,Qwzil Qishlaq,Unknown,2,0,Private Citizens & Property
44,2019-12-30,Afghanistan,Sarkhas,Taliban,3,0,Private Citizens & Property
45,2019-12-29,Democratic Republic of the Congo,Apetina-Sana,Allied Democratic Forces (ADF),18,Unknown,Private Citizens & Property
46,2019-12-30,Bangladesh,Dhaka,Bangladesh Nationalist Party (BNP) (suspected),0,1,Educational Institution
47,2019-12-30,Afghanistan,Haidar Abad,Taliban,21,10,"Police,Terrorists/Non-state Militia"
48,2019-12-29,Niger,Komabangou,Jamaat Nusrat al-Islam wal Muslimin (JNIM),2,0,Police
49,2019-12-29,Philippines,Beri,Unknown,0,0,Unknown
50,2019-12-29,Sudan,El Geneina,Tribesmen,24,17,Private Citizens & Property
51,2019-12-29,Afghanistan,Balghali,Taliban,2,3,Military
52,2019-12-29,Afghanistan,Sang Atesh,Unknown,2,0,Police
53,2019-12-29,Bangladesh,Dhaka,Unknown,0,0,Violent Political Party
54,2019-12-29,Nigeria,Mandaragirau,Boko Haram,1,Unknown,"Religious Figures/Institutions,Educational Institution,Business"
55,2019-12-29,Iraq,Taji,Kata'ib Hezbollah (suspected),0,0,Military
56,2019-12-29,Yemen,Dali,Houthi extremists (Ansar Allah),7,25,"Military,Terrorists/Non-state Militia,Private Citizens & Property"
57,2019-12-29,Mali,Zerema,Unknown,1,Unknown,Private Citizens & Property
58,2019-12-29,Mali,Mande,Unknown,1,Unknown,Private Citizens & Property
59,2019-12-29,Mali,Darsalam,Unknown,1,Unknown,Private Citizens & Property
60,2019-12-29,Bangladesh,Dhaka,Bangladesh Nationalist Party (BNP) (suspected),0,0,Educational Institution
61,2019-12-29,Bangladesh,Dhaka,Bangladesh Nationalist Party (BNP) (suspected),0,0,Educational Institution
62,2019-12-29,Afghanistan,Lalah Gozar,Taliban,27,4,Terrorists/Non-state Militia
63,2019-12-29,Kenya,Jabbi,Unknown,0,1,Government (General)
64,2019-12-29,India,Chihka,Maoists,0,1,Private Citizens & Property
65,2019-12-29,India,Keri,Unknown,0,0,Unknown
66,2019-12-29,India,Arki,Communist Party of India - Maoist (CPI-Maoist),0,0,Business
67,2019-12-28,Democratic Republic of the Congo,Beni,Allied Democratic Forces (ADF),0,3,Business
68,2019-12-28,Sudan,Baw,Unknown,0,0,Religious Figures/Institutions
69,2019-12-28,Sudan,Baw,Unknown,0,0,Religious Figures/Institutions
70,2019-12-28,Sudan,Baw,Unknown,0,0,Religious Figures/Institutions
71,2019-12-28,Iraq,Hatra district,Islamic State of Iraq and the Levant (ISIL),2,0,Private Citizens & Property
72,2019-12-28,Iraq,Mosul,Islamic State of Iraq and the Levant (ISIL),6,0,Military
73,2019-12-28,Iraq,Karbala,Unknown,1,0,Government (General)
74,2019-12-28,Afghanistan,Chahar Shanbeh Tepa,Taliban,4,Unknown,Police
75,2019-12-28,Afghanistan,Unknown,Taliban,1,0,Police
76,2019-12-28,Afghanistan,Almar district,Taliban,2,1,Terrorists/Non-state Militia
77,2019-12-24,Iraq,Baghdad,Unknown,0,0,Private Citizens & Property
78,2019-12-28,Burkina Faso,Nadiaboanli,Unknown,1,0,Private Citizens & Property
79,2019-12-29,India,Shivrampur,Rashtriya Swayamsevak Sangh,0,Unknown,Religious Figures/Institutions
80,2019-12-28,United States,Monsey,Anti-Semitic extremists,1,4,Private Citizens & Property
81,2019-12-28,India,Imphal,Unknown,0,0,Private Citizens & Property
82,2019-12-28,Pakistan,Mamund,Unknown,0,0,Unknown
83,2019-12-28,India,Gobardaha,Maoists,1,0,Private Citizens & Property
84,2019-12-28,India,Baskund,Maoists,1,0,Private Citizens & Property
85,2019-12-28,Afghanistan,Charkhakyan Manda,Taliban,10,4,Military
86,2019-12-28,Afghanistan,Herat,Unknown,2,0,Government (Diplomatic)
87,2019-12-28,Somalia,Mogadishu,Al-Shabaab,84,148,"Private Citizens & Property,Police,Private Citizens & Property"
88,2019-12-27,Democratic Republic of the Congo,Malutu,Allied Democratic Forces (ADF),2,0,Military
89,2019-12-27,Democratic Republic of the Congo,Teturi,Allied Democratic Forces (ADF),2,0,Military
90,2019-12-27,Democratic Republic of the Congo,Lwemba,Allied Democratic Forces (ADF),4,0,Military
91,2019-12-27,Nigeria,Buratai,Boko Haram,0,0,Private Citizens & Property
92,2019-12-27,Nigeria,Miringa,Boko Haram,0,0,Private Citizens & Property
93,2019-12-27,Nigeria,Maina Hari,Boko Haram,0,0,Private Citizens & Property
94,2019-12-27,Nigeria,Yamarkumi,Boko Haram,0,0,Private Citizens & Property
95,2019-12-27,Afghanistan,Nawa-i-Barakzayi district,Unknown,1,1,"Police,Private Citizens & Property"
96,2019-12-27,Afghanistan,Washer district,Taliban,1,0,Private Citizens & Property
97,2019-12-27,Afghanistan,Fayzabad district,Unknown,2,2,Military
98,2019-12-27,Afghanistan,Darwazbala district,Unknown,1,3,Military
99,2019-12-27,Afghanistan,Dara-i-Sufi Payin district,Taliban,1,3,"Military,Government (General)"
100,2019-12-27,India,Tikarpada,Communist Party of India - Maoist (CPI-Maoist),0,0,Business
101,2019-12-27,Burkina Faso,Pensa,Unknown,0,1,Military
102,2019-12-27,Iraq,Samarra,Islamic State of Iraq and the Levant (ISIL),0,0,Private Citizens & Property
103,2019-12-27,Iraq,Kirkuk,"Kata'ib Hezbollah,Islamic State of Iraq and the Levant (ISIL)",1,6,Military
104,2019-12-27,Nigeria,Uzere,Unknown,0,Unknown,Private Citizens & Property
105,2019-12-27,India,Tandwa,Maoists,1,1,Business
106,2019-12-27,Kenya,Kutulo,Al-Shabaab,2,7,Police
107,2019-12-26,Yemen,Hudaydah,Houthi extremists (Ansar Allah),0,0,NGO
108,2019-12-26,Afghanistan,Tarin Kot,Unknown,3,3,"Private Citizens & Property,Private Citizens & Property"
109,2019-12-26,Afghanistan,Kandahar,Unknown,1,1,Military
110,2019-12-26,Iraq,Badir,Unknown,0,1,Private Citizens & Property
111,2019-12-26,Bangladesh,Dhaka,Unknown,0,0,Educational Institution
112,2019-12-26,Nigeria,Gonori,Fulani extremists (suspected),2,6,Private Citizens & Property
113,2019-12-26,Afghanistan,Qalay-i-Zal district,Taliban,0,1,Military
114,2019-12-26,Afghanistan,Dih Yak district,Taliban,2,0,Police
115,2019-12-26,India,Patharhi,Tritiya Prastuti Committee (TPC),0,0,Business
116,2019-12-26,Nigeria,Gwoza district,Boko Haram,2,0,Private Citizens & Property
117,2019-12-26,Philippines,Cebu City,Unknown,0,2,Police
118,2019-12-26,Pakistan,Peshawar,Unknown,1,0,Private Citizens & Property
119,2019-12-26,Afghanistan,Khost,Taliban,0,5,Private Citizens & Property
120,2019-12-26,Afghanistan,Chimtal district,Taliban,7,3,Military
121,2019-12-26,Afghanistan,Qarabagh district,Unknown,2,0,Private Citizens & Property
122,2019-12-26,Kenya,Wardeglo,Al-Shabaab,0,0,Private Citizens & Property
123,2019-12-25,Egypt,Qabr Umayr,Sinai Province of the Islamic State,1,3,Private Citizens & Property
124,2019-12-25,United States,Cleveland,Unknown,0,0,Religious Figures/Institutions
125,2019-12-25,Syria,Unknown,Unknown,0,5,Private Citizens & Property
126,2019-12-25,Nigeria,Konduga district,Boko Haram,1,0,Military
127,2019-12-25,Saudi Arabia,Anoud,Unknown,2,0,Private Citizens & Property
128,2019-12-25,Iraq,Baghdad,Unknown,0,4,Private Citizens & Property
129,2019-12-25,Iraq,Baghdad,Unknown,0,3,Private Citizens & Property
130,2019-12-25,Iraq,Baghdad,Unknown,0,2,Private Citizens & Property
131,2019-12-25,Iraq,Dhuluiya,Islamic State of Iraq and the Levant (ISIL),3,4,"Military,Military"
132,2019-12-25,Afghanistan,Kunduz,Taliban,1,2,Police
133,2019-12-25,Mozambique,Marere,Unknown,0,Unknown,Private Citizens & Property
134,2019-12-25,Mozambique,Mocimboa da Praia district,Unknown,0,0,Business
135,2019-12-25,Mozambique,Chitunda,Muslim extremists,0,0,Private Citizens & Property
136,2019-12-25,Pakistan,Shawa,Unknown,1,0,Military
137,2019-12-25,Yemen,Bayt Maghari,Houthi extremists (Ansar Allah),0,Unknown,Private Citizens & Property
138,2019-12-25,Afghanistan,Obe district,Unknown,0,0,Business
139,2019-12-25,Pakistan,Qutabkhel,Unknown,0,0,Military
140,2019-12-25,Sudan,Gureisha,Unknown,1,4,Private Citizens & Property
141,2019-12-25,Iraq,Baghdad,Unknown,0,4,Private Citizens & Property
142,2019-12-25,Afghanistan,Khairmani,Unknown,0,1,Police
143,2019-12-25,Afghanistan,Nozy Khwali,Unknown,1,1,Police
144,2019-12-25,Israel,Ashkelon,Palestinian Islamic Jihad (PIJ),0,0,Private Citizens & Property
145,2019-12-25,Nepal,Ishanath,Unknown,0,0,Government (General)
146,2019-12-25,Niger,Sanam,Boko Haram,14,4,"Police,Military"
